title,author,length
Energize Your Mind,Gaur Gopal Das,Length: 10 hrs and 20 mins
Doglapan,Ashneer Grover,Length: 6 hrs and 30 mins
Anatomy of a Breakthrough,Adam Alter,Length: 8 hrs and 51 mins
The Hidden Hindu,Akshat Gupta,Length: 5 hrs and 36 mins
Happy Place,Emily Henry,Length: 11 hrs and 3 mins
Outlive,"Peter Attia,Bill Gifford",Length: 17 hrs and 8 mins
Nonviolent Communication,Marshall Rosenberg PhD,Length: 5 hrs and 9 mins
Spare,Prince Harry The Duke of Sussex,Length: 15 hrs and 37 mins
The Light We Carry,Michelle Obama,Length: 9 hrs and 59 mins
Haunting Adeline,H. D. Carlton,Length: 15 hrs and 47 mins
Revolutionaries,Sanjeev Sanyal,Length: 11 hrs and 22 mins
Never Finished,David Goggins,Length: 11 hrs and 6 mins
"Harry Potter and the Philosopher's Stone, Book 1",J.K. Rowling,Length: 8 hrs and 25 mins
The Covenant of Water,Abraham Verghese,Length: 31 hrs and 16 mins
"India Since Independence, Part 1","Bipin Chandra,Mridula Mukherjee,Aditya Mukherjee",Length: 18 hrs and 13 mins
Terms and Conditions,Lauren Asher,Length: 13 hrs and 12 mins
The Creative Act,Rick Rubin,Length: 5 hrs and 44 mins
Verity,Colleen Hoover,Length: 8 hrs and 10 mins
The Five Love Languages: The Secret to Love That Lasts,Gary Chapman,Length: 4 hrs and 46 mins
The Immortals of Meluha,Amish Tripathi,Length: 11 hrs and 39 mins
